<data for 2018>

499,2,1848,11.54,13.34,9.59,323.1,5.322,-1.877,-.982,1,2,17.12,2230.2
499,2,1918,9.45,13.34,6.255,319.9,9.95,-1.586,-.629,1,2,17.05,2296.8
499,2,1948,8.35,10.43,4.17,283.6,12.61,-2.198,-1.242,1,2,17.05,2285.7
499,2,2018,9.78,10.84,8.34,253.2,3.883,-3.136,-1.307,1,2,17.07,2321.7
499,2,2048,10.88,13.34,7.92,275,5.981,-2.53,-1.753,1,2,17.14,2379
499,2,2118,9.14,11.68,7.51,272.5,4.929,-3.495,-1.348,1,2,17.23,2441.1
499,2,2148,5.738,7.92,3.753,283.1,3.913,-1.482,-.239,1,2,17.35,2473
499,2,2218,7.6,9.17,5.838,231,22.44,-1.876,-1.223,1,2,17.44,2513.4
499,2,2248,7.57,9.59,5.421,253.6,3.451,-2.709,-.693,1,2,17.55,2546.8
499,2,2318,3.161,4.587,2.502,204.3,1.067,1.259,1.913,1,2,17.67,2559.5
499,2,2348,4.345,5.421,3.753,191.9,5.917,.609,1.239,1,2,17.74,2584
400,2,13.08,30.02,1148,25.5,1118,3.161,2318,2.085,618,-2.717,-2.008,1.259,2318,1.913,2318,-4.832,1148,-6.163,1218,12.79,12.76,17.74,17.05,12.48,10.32,997,50,1
499,3,18,3.052,3.753,2.085,185.6,6.029,2.855,1.559,1,2,17.81,246.78
499,3,48,1.118,1.668,.417,187.8,.475,6.371,7.37,1,2,17.86,277.08
499,3,118,.3,.834,0,188.4,.281,8.92,9.17,1,2,17.9,349.8
499,3,148,2.777,3.336,2.085,51.76,21.22,1.345,.568,1,2,17.93,255.02
499,3,218,4.562,6.255,3.753,62.06,15.21,-.677,-1.634,1,2,17.97,331.5
499,3,248,5.329,6.255,4.17,67.32,4.889,-3.124,-3.294,1,2,17.99,353.54
499,3,318,5.504,7.09,4.17,60.86,5.974,-1.173,-2.764,1,2,18.04,421.69
499,3,348,5.213,6.672,4.17,49.31,3.891,-.24,-1.967,1,2,18.11,439.16
499,3,418,7.64,8.76,6.255,40.52,1.998,-.778,-1.859,1,2,18.18,504.71
499,3,448,10.74,12.09,9.59,28.27,4.458,-1.957,-1.839,1,2,18.25,533.61
499,3,518,11,12.09,9.59,23.88,3.204,-1.995,-1.57,1,2,18.3,598.5
499,3,548,9.08,10.43,7.51,25.97,4.422,-1.268,-1.41,1,2,18.34,627.07
499,3,618,10.64,12.09,9.17,29.84,5.912,-1.64,-1.547,1,2,18.34,706.82
499,3,648,9.98,11.68,6.672,14.11,6.008,-.664,1.12,1,2,18.37,721.28
499,3,718,13.04,15.85,10.01,15.19,4.324,-2.383,-1.488,1,2,18.37,796.91
499,3,748,13.5,15.85,11.26,17.41,5.921,-1.881,-1.387,1,2,18.37,833.04
499,3,818,12.17,13.76,10.43,22.81,3.672,-1.714,-1.469,1,2,18.34,902
499,3,848,12.86,14.6,10.84,23.9,4.381,-1.915,-1.487,1,2,18.25,935.43
499,3,918,11.34,13.76,9.59,25.59,4.71,-1.593,-1.813,1,2,18.2,1003.8
499,3,948,11.88,14.6,9.17,20.5,4.795,-2.241,-2.839,1,2,18.13,1028
499,3,1018,11.05,12.51,9.17,24.31,4.019,-1.492,-1.45,1,2,18.09,1100.2
499,3,1048,12.49,14.6,9.17,16.59,5.992,-1.284,-.835,1,2,18.04,1128.8
499,3,1118,11.43,13.76,9.17,19.34,5.357,-.855,.42,1,2,17.99,1200.6
499,3,1148,11.83,13.34,10.43,14.67,7.66,.255,-1.748,1,2,17.95,1228.4
499,3,1218,11.75,13.34,9.59,13.19,5.077,-.854,.035,1,2,17.88,1294
499,3,1248,10.04,11.68,7.92,13.14,25.47,-.715,-.043,1,2,17.83,1339.3
499,3,1318,7.73,10.43,5.838,4.594,20.85,-.103,.835,1,2,17.79,1392
499,3,1348,7.2,9.17,4.587,355.9,23.82,.344,1.3,1,2,17.76,1774.1
499,3,1418,8.57,12.93,5.421,16.87,11.67,.1,.467,1,2,17.76,1497.8
499,3,1448,4.912,6.255,3.753,4.745,17.47,1.73,2.16,1,2,17.79,1512.8
499,3,1518,6.414,9.17,5.004,355.9,5.567,-.06,-.42,1,2,17.81,1923.4
499,3,1548,6.522,7.92,4.587,348.3,18.64,.103,.858,1,2,17.86,1958.8
499,3,1618,5.63,7.92,3.336,358.3,15.63,1.409,2.591,1,2,17.9,2036.8
499,3,1648,5.488,6.255,5.004,24.61,3.451,.288,2.753,1,2,17.99,1719.9
499,3,1718,4.304,5.421,2.919,13.45,4.418,1.816,3.041,1,2,18.06,1777.4
499,3,1748,5.721,6.255,4.17,22.31,4.141,1.267,.798,1,2,18.13,1816.8
499,3,1818,3.169,3.753,2.502,32.01,2.06,4.896,3.304,1,2,18.2,1893.9
499,3,1848,3.094,3.753,2.085,31.24,8.57,4.775,4.02,1,2,18.3,1929.8
499,3,1918,2.385,2.919,1.668,39.84,.229,6.224,5.14,1,2,18.34,2000.8
499,3,1948,1.184,1.668,.834,39.86,.22,8.35,8.49,1,2,18.42,2033
499,3,2018,1.61,1.668,1.251,60.09,.397,3.08,7.02,1,2,18.51,2117.6
499,3,2048,1.668,2.085,1.251,60.49,.253,4.347,9.93,1,2,18.58,2152.6
499,3,2118,1.91,2.502,1.251,60.13,3.94,1.706,1.71,1,2,18.65,2215.8
499,3,2148,1.793,2.085,1.251,60.17,.381,4.104,3.102,1,2,18.72,2245.6
499,3,2218,1.81,2.085,1.668,73.6,3.666,1.92,5.036,1,2,18.77,2332.6
499,3,2248,.409,1.251,0,74.1,1.066,8.09,7.58,1,2,18.84,2365.3
499,3,2318,1.326,1.668,.834,47.4,30.14,8.78,9.13,1,2,18.89,2442.2
499,3,2348,1.877,2.502,.417,73.6,.909,3.309,5.003,1,2,18.91,2460.5
400,3,6.564,15.85,718,13.5,748,.3,118,0,118,1.162,1.493,8.92,118,9.93,2048,-3.124,248,-3.294,248,12.79,12.72,18.91,17.76,15.69,12.93,998,50,1
499,4,18,2.927,3.336,2.085,24.61,1.264,5.941,5.451,1,2,18.91,89.524
499,4,48,1.168,2.085,.417,101.8,60.67,8.43,8.91,1,2,18.91,257.4
499,4,118,2.127,2.502,1.668,82.1,54.14,1.163,7.55,1,2,18.91,295.18
499,4,148,2.344,2.919,2.085,66.73,1.54,5.595,8.05,1,2,18.89,263.15
499,4,218,1.71,2.085,1.251,62.56,1.542,5.084,6.495,1,2,18.89,324.61
499,4,248,2.135,2.502,1.668,32.62,1.357,5.134,3.53,1,2,18.86,322.81
499,4,318,2.569,2.919,2.085,28.29,1.568,3.065,1.494,1,2,18.89,385.87
499,4,348,4.462,5.004,4.17,31.9,1.288,1.799,-1.274,1,2,18.89,421.23
499,4,418,5.588,5.838,5.004,63.29,55.63,.203,-.568,1,2,18.89,578.87
499,4,448,6.297,7.09,5.421,184.5,42.73,-1.811,-1.017,1,2,18.86,717.08
499,4,518,8.47,9.59,7.51,215.3,24.65,-2.706,-1.402,1,2,18.82,805.28
499,4,548,9.37,11.26,6.672,224.1,13.23,-3.158,-1.549,1,2,18.79,833.73
499,4,618,7.41,9.17,5.838,218.2,11.74,-2.793,-1.184,1,2,18.77,892.16
499,4,648,8.47,10.01,6.672,232.8,11.34,-3.094,-1.525,1,2,18.74,938.41
499,4,718,8.37,10.43,6.672,241.4,7.84,-2.877,-1.465,1,2,18.72,1014.1
499,4,748,7.88,9.17,5.838,206.5,25.46,-3.095,-1.752,1,2,18.7,1023.7
499,4,818,10,11.26,8.34,233.8,9.94,-3.403,-2.16,1,2,18.65,1111.4
499,4,848,8.97,10.43,7.92,215.8,6.96,-3.362,-1.836,1,2,18.6,1118.4
499,4,918,8.96,10.84,7.09,196.8,3.284,-1.522,-3.977,1,2,18.53,1165
499,4,948,11.36,13.34,9.17,213.6,9.64,-3.841,-.467,1,2,18.44,1226.2
499,4,1018,9.56,11.26,7.92,200.8,2.535,-2.45,-2.328,1,2,18.34,1270.7
499,4,1048,10.18,12.51,8.34,206.7,3.44,-2.345,-1.632,1,2,18.2,1310.4
499,4,1118,8.04,9.17,6.672,196.6,3.274,-1.363,-1.506,1,2,18.11,1364
499,4,1148,9.6,11.68,8.34,196,3.53,-1.611,-1.533,1,2,17.99,1399
499,4,1218,8.8,9.59,7.51,185,3.309,-1.509,-1.653,1,2,17.9,1454
